dateStr,reading,type,abbr,bookCode,chapter,vStart,vEnd
1月1日,創世記 1,舊約,創 1,GEN,1,1,
1月1日,馬太福音 1:1-21,新約,太 1:1-21,MAT,1,1,21
1月1日,詩篇 1:1-12,詩篇,詩 1:1-12,PSA,1,1,12
1月1日,箴言 1:1-3,箴言,箴 1:1-3,PRO,1,1,3
1月2日,創世記 2,舊約,創 2,GEN,2,1,
1月2日,創世記 3,舊約,創 3,GEN,3,1,
1月2日,馬太福音 1:22-30,新約,太 1:22-30,MAT,1,22,30
1月2日,詩篇 1:13-24,詩篇,詩 1:13-24,PSA,1,13,24
1月2日,箴言 1:4-6,箴言,箴 1:4-6,PRO,1,4,6
1月3日,創世記 4,舊約,創 4,GEN,4,1,
1月3日,創世記 5,舊約,創 5,GEN,5,1,
1月3日,馬太福音 2:13-30,新約,太 2:13-30,MAT,2,13,30
1月3日,詩篇 1:25-30,詩篇,詩 1:25-30,PSA,1,25,30
1月3日,箴言 1:7-9,箴言,箴 1:7-9,PRO,1,7,9
1月4日,創世記 6,舊約,創 6,GEN,6,1,
1月4日,創世記 7,舊約,創 7,GEN,7,1,
1月4日,馬太福音 3:5-25,新約,太 3:5-25,MAT,3,5,25
1月4日,詩篇 2:7-19,詩篇,詩 2:7-19,PSA,2,7,19
1月4日,箴言 1:10-12,箴言,箴 1:10-12,PRO,1,10,12
1月5日,創世記 8,舊約,創 8,GEN,8,1,
1月5日,創世記 9,舊約,創 9,GEN,9,1,
1月5日,馬太福音 3:26-30,新約,太 3:26-30,MAT,3,26,30
1月5日,詩篇 2:20-30,詩篇,詩 2:20-30,PSA,2,20,30
1月5日,箴言 1:13-15,箴言,箴 1:13-15,PRO,1,13,15
1月6日,創世記 10,舊約,創 10,GEN,10,1,
1月6日,創世記 11,舊約,創 11,GEN,11,1,
1月6日,馬太福音 4:17-30,新約,太 4:17-30,MAT,4,17,30
1月6日,詩篇 3:2-13,詩篇,詩 3:2-13,PSA,3,2,13
1月6日,箴言 1:16-18,箴言,箴 1:16-18,PRO,1,16,18
1月7日,創世記 12,舊約,創 12,GEN,12,1,
1月7日,創世記 13,舊約,創 13,GEN,13,1,
1月7日,馬太福音 5:9-29,新約,太 5:9-29,MAT,5,9,29
1月7日,詩篇 3:14-26,詩篇,詩 3:14-26,PSA,3,14,26
1月7日,箴言 1:19-21,箴言,箴 1:19-21,PRO,1,19,21
1月8日,創世記 14,舊約,創 14,GEN,14,1,
1月8日,創世記 15,舊約,創 15,GEN,15,1,
1月8日,馬太福音 5:30-30,新約,太 5:30-30,MAT,5,30,30
1月8日,詩篇 3:27-30,詩篇,詩 3:27-30,PSA,3,27,30
1月8日,箴言 1:22-24,箴言,箴 1:22-24,PRO,1,22,24
1月9日,創世記 16,舊約,創 16,GEN,16,1,
1月9日,創世記 17,舊約,創 17,GEN,17,1,
1月9日,馬太福音 6:21-30,新約,太 6:21-30,MAT,6,21,30
1月9日,詩篇 4:9-20,詩篇,詩 4:9-20,PSA,4,9,20
1月9日,箴言 1:25-27,箴言,箴 1:25-27,PRO,1,25,27
1月10日,創世記 18,舊約,創 18,GEN,18,1,
1月10日,創世記 19,舊約,創 19,GEN,19,1,
1月10日,馬太福音 7:13-30,新約,太 7:13-30,MAT,7,13,30
1月10日,詩篇 4:21-30,詩篇,詩 4:21-30,PSA,4,21,30
1月10日,箴言 1:28-30,箴言,箴 1:28-30,PRO,1,28,30
1月11日,創世記 20,舊約,創 20,GEN,20,1,
1月11日,創世記 21,舊約,創 21,GEN,21,1,
1月11日,馬太福音 8:4-25,新約,太 8:4-25,MAT,8,4,25
1月11日,詩篇 5:4-15,詩篇,詩 5:4-15,PSA,5,4,15
1月11日,箴言 2:1-3,箴言,箴 2:1-3,PRO,2,1,3
1月12日,創世記 22,舊約,創 22,GEN,22,1,
1月12日,創世記 23,舊約,創 23,GEN,23,1,
1月12日,馬太福音 8:26-30,新約,太 8:26-30,MAT,8,26,30
1月12日,詩篇 5:16-27,詩篇,詩 5:16-27,PSA,5,16,27
1月12日,箴言 2:4-6,箴言,箴 2:4-6,PRO,2,4,6
1月13日,創世記 24,舊約,創 24,GEN,24,1,
1月13日,創世記 25,舊約,創 25,GEN,25,1,
1月13日,馬太福音 9:17-30,新約,太 9:17-30,MAT,9,17,30
1月13日,詩篇 5:28-30,詩篇,詩 5:28-30,PSA,5,28,30
1月13日,箴言 2:7-9,箴言,箴 2:7-9,PRO,2,7,9
1月14日,創世記 26,舊約,創 26,GEN,26,1,
1月14日,創世記 27,舊約,創 27,GEN,27,1,
1月14日,馬太福音 10:8-29,新約,太 10:8-29,MAT,10,8,29
1月14日,詩篇 6:11-22,詩篇,詩 6:11-22,PSA,6,11,22
1月14日,箴言 2:10-12,箴言,箴 2:10-12,PRO,2,10,12
1月15日,創世記 28,舊約,創 28,GEN,28,1,
1月15日,創世記 29,舊約,創 29,GEN,29,1,
1月15日,馬太福音 10:30-30,新約,太 10:30-30,MAT,10,30,30
1月15日,詩篇 6:23-30,詩篇,詩 6:23-30,PSA,6,23,30
1月15日,箴言 2:13-15,箴言,箴 2:13-15,PRO,2,13,15
1月16日,創世記 30,舊約,創 30,GEN,30,1,
1月16日,創世記 31,舊約,創 31,GEN,31,1,
1月16日,馬太福音 11:21-30,新約,太 11:21-30,MAT,11,21,30
1月16日,詩篇 7:5-17,詩篇,詩 7:5-17,PSA,7,5,17
1月16日,箴言 2:16-18,箴言,箴 2:16-18,PRO,2,16,18
1月17日,創世記 32,舊約,創 32,GEN,32,1,
1月17日,創世記 33,舊約,創 33,GEN,33,1,
1月17日,馬太福音 12:12-30,新約,太 12:12-30,MAT,12,12,30
1月17日,詩篇 7:18-29,詩篇,詩 7:18-29,PSA,7,18,29
1月17日,箴言 2:19-21,箴言,箴 2:19-21,PRO,2,19,21
1月18日,創世記 34,舊約,創 34,GEN,34,1,
1月18日,創世記 35,舊約,創 35,GEN,35,1,
1月18日,馬太福音 13:4-24,新約,太 13:4-24,MAT,13,4,24
1月18日,詩篇 7:30-30,詩篇,詩 7:30-30,PSA,7,30,30
1月18日,箴言 2:22-24,箴言,箴 2:22-24,PRO,2,22,24
1月19日,創世記 36,舊約,創 36,GEN,36,1,
1月19日,創世記 37,舊約,創 37,GEN,37,1,
1月19日,馬太福音 13:25-30,新約,太 13:25-30,MAT,13,25,30
1月19日,詩篇 8:12-24,詩篇,詩 8:12-24,PSA,8,12,24
1月19日,箴言 2:25-27,箴言,箴 2:25-27,PRO,2,25,27
1月20日,創世記 38,舊約,創 38,GEN,38,1,
1月20日,創世記 39,舊約,創 39,GEN,39,1,
